key,en,zh-Hans,zh-Hant,af,ar,ca,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sr,sw,sv,th,tr,vi
lang.aou,A'ou,奥乌语,奧烏語,Ou taal,لغة Ou,Llengua ou,Ou Sprache,Ou γλώσσα,Ou-kieli,Notre langue,Teanga Ou,Ou भाषा,Ou jezik,Ou nyelv,Bahasa Ou,Lingua Ou,奥羽語,Ou 언어,Ou taal,Ou språk,Język ou,Ou língua,Ou limbă,Ou language,Idioma Ou,Ouu jezik,Lugha ya Ou,Ou språk,ภาษา Ou,Ou dili,Ngôn ngữ Ou
lang.ab,Abkhaz,阿布哈兹语,阿布哈茲語,Abchaziese,الابخازيه,Abkhàzia,Abchasisch,Αμπχαζικά,Abhaasi,Abkhaze,AbkhazianName,अब्खाज़ियन,Abhazijski,abház,Abkhazia,Abcaso,アブハジア語,압하지야어,Abchazisch,Abkhasisk,Abchaski,Abecásia,Abhazie,Абхазский,Abjaso,Abhazijan,Abkhazian,Abchaziska,อับคาเซียน,Abhaz,Tiếng Abkhazia
lang.acu,Achuar,阿丘亚尔语,阿丘亞爾語,Achuar,أشوار,Achuar,Achuar,Ατσουάρ,Achuar,Achuar,AchuarName,अचुआर,Ačuar,Achuar,Achuar,cantone di Achuar,アチュアール,아추아르,Kanton Achuar,Achuar,Achuar,Achuar,Achuar,Ачуар,Achuar,Achuar,Achuar,Achuar Achuar,อาชัวร์,Achuar Belediyesi,Achuar
lang.af,Afrikaans,南非荷兰语,南非荷蘭語,Afrikaans,الأفريقانية,Afrikaans,Afrikaans,Αφρικάανς,Afrikaans,Afrikaans,Afracáinis,अफ़्रिकान्स,Afrikaans,Búr,Afrika,Afrikaans,アフリカーンス語,아프리칸스어,Afrikaans,Afrikaans,Afrikaans,Africâner,Afrikaans,Африкаанс,Afrikaans,Afrikanski,Kiafrikaani,Afrikaans,อัฟริกัน,Afrikaner,Afrikaans
lang.ain,Ainu,爱努语,愛努語,Ainu,عينو,Ainu,Ainu,Αϊνού,Ainu,Aïnou,Ainu,ऐनू,Ainu,Ainu,Ainu,Ainu,アイヌ,아이누어,Kanton Ainu,Ainu,Ainu,Ainu,Ainu,Айну,Ainu,Ainu,Ainu,Ainu,ไอนุ,Ainu,Ainu
lang.akk,Akkadian,阿卡德语,阿卡德語,Akkadies,الأكادية,Accadi,Akkadisch,Ακκαδική,Akkadi,Akkadien,AkkadianName,अक्कादियन,Akadski,Akkád,Akkadia,Accadico,アッカド語,아카드어,Akkadisch,Akkadisk,Akadyjski,Acadiano,Akkadiană,Аккадский,Acadio,Akadijanиe,Akkadian,Akkadiska,อัคคาเดียน,Akad,Tiếng Akkad
lang.sq,Albanian,阿尔巴尼亚语,阿爾巴尼亞語,Albaniese,الألبانية,Albanès,Albanisch,Αλβανικά,Albania,Albanais,Albáinis,अल्बानियाई,Albanski,Albán,Albania,Albanese,アルバニア語,알바니아어,Albanees,Albansk,Albański,Albanês,Albaneză,Албанский,Albanés,Albanski,Kialbania,Albanska,อัลบาเนีย,Arnavutça,Tiếng An-ba-ni
lang.gsw,Alemannic German,阿勒曼尼语,阿勒曼尼語,Alemanni-taal,اللغة اليمانية,Llengua alemanni,Alemannische Sprache,Αλεμαννική γλώσσα,Alemannin kieli,Langue alamani,Teanga Alemanni,अलेमानी भाषा,Alemanni jezik,Alemanni nyelv,Bahasa Alemanni,Lingua Alemanni,アレマン語,알레만니어,De taal van de Alemannen,Alemannisk språk,Język alemanski,Língua alamânica,Limba alemanilor,Алеманнский язык,Idioma alamaní,Alemanni jezik,Lugha ya Alemanni,Alemanniska språket,ภาษา Alemanni,Alemanni dili,Ngôn ngữ Alemanni
lang.ase,American Sign Language,美国手语,美國手語,Amerikaanse Gebaretaal,لغة الإشارة الأمريكية,Llengua de signes americana,Amerikanische Gebärdensprache,Αμερικανική Νοηματική Γλώσσα,Amerikkalainen viittomakieli,Langue des signes québécoise,Teanga Chomharthaíochta Mheiriceá,अमेरिकी सांकेतिक भाषा,Američki znakovni jezik,Amerikai jelnyelv,Bahasa Isyarat Amerika,Lingua dei segni americana,アメリカ手話(American Sign Language),미국 수화,Amerikaanse gebarentaal,Amerikansk tegnspråk,Amerykański język migowy,Língua Americana de Sinais,Limbajul semnelor american,Американский язык жестов,Lenguaje de Señas Americano,Američki znakovni jezik,Lugha ya Ishara ya Marekani,Amerikanskt teckenspråk,ภาษามืออเมริกัน,Amerikan İşaret Dili,Ngôn ngữ ký hiệu Mỹ
lang.am,Amharic,阿姆哈拉语,阿姆哈拉語,Amharies,الأمهرية,Amhàric,Amharisch,Αμχαρικά,Amhara,Amharique,Amharic,अम्हारिक,Amharski,Amhara,Amharik,Amarico,アムハラ語,암하라어,Amhaars,Amharisk,Amharski,Amárico,Amharică,Амхарский,Amárico,Amharić,Amharic,Amhariska,ภาษาอัมฮาริค,Amharca,Tiếng Amhara
